id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1240197505795,53.4665174782034
"51",PSP,P,"5",20.1197473794528,53.4647099365729
"59",PSP,P,"5",20.1487275383033,53.4918246344578
"58",PSP,P,"5",20.1456271366386,53.4887485496689
"57",PSP,P,"5",20.1416026936935,53.4849186417302
"56",PSP,P,"5",20.1383979226405,53.4808134892813
"55",PSP,P,"5",20.1354401272451,53.477937854869
"54",PSP,P,"5",20.1318250439841,53.474322771608
"53",PSP,P,"5",20.128620765639,53.471118493263
"60",POW,P,"10",20.1195830574864,53.4623272680599
"67",POW,P,"10",20.1204868283017,53.4605197264294
"61",POW,P,"10",20.1234446236971,53.4639704877241
"68",POW,P,"10",20.1245127164787,53.4620807851103
"62",POW,P,"10",20.1272240289245,53.4665174782034
"63",POW,P,"10",20.1298531803871,53.469146629666
"64",POW,P,"10",20.1328109757825,53.4721865860446
"65",POW,P,"10",20.1352758052787,53.4744870935744
"66",POW,P,"10",20.1373298298588,53.4767876011042
"69",POW,P,"10",20.1276348338406,53.4643812926401
"70",POW,P,"10",20.1303461462864,53.4669282831195
"71",POW,P,"10",20.1331396197154,53.4698860785149
"72",POW,P,"10",20.1357687711779,53.4722687470278
"73",POW,P,"10",20.1379049567413,53.474733576524
"74",POW,P,"10",20.1405341082039,53.4772805670034
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1397198838536,53.4789853948956
"86",POL,P,"10",20.1410190886743,53.4811130506674
"87",POL,P,"10",20.1400950473938,53.4840310757635
"89",POL,P,"10",20.1422835662159,53.4858305245728
"91",POL,P,"10",20.1445693525413,53.4876299733821
"93",POL,P,"10",20.1470010401214,53.4904020972235
"95",POL,P,"10",20.1485573201727,53.4926878835488
"88",POL,P,"10",20.1428185374836,53.4837392732539
"90",POL,P,"10",20.1449584225541,53.4854900883116
"92",POL,P,"10",20.1477305463955,53.4878731421402
"94",POL,P,"10",20.1492381926952,53.4903534634719
"96",POL,P,"10",20.1514510283931,53.4925359030751
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1503810858578,53.4783105307312
"103",PKW,P,"1",20.1519616827849,53.4858001284781
