id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1210792505171,53.4715686769153
"13",K,"8",KJ,20.1529926169986,53.4933583707391
"7",K,"10",KJ,20.1342990187263,53.483061693642
"4",K,"10",KJ,20.1272699218149,53.4789582208505
"2",K,"10",KJ,20.1230524636681,53.4739808603349
"3",K,"10",KJ,20.1253468622202,53.4753621095403
"5",K,"10",KJ,20.1292836630922,53.4808579767725
"6",K,"10",KJ,20.1318673311461,53.4824917668654
"10",K,"4",KJ,20.1483952076674,53.4913446294618
"11",K,"8",KJ,20.1508268952475,53.4919145562384
"12",K,"9",KJ,20.152080734156,53.4944602291739
"8",K,"10",KJ,20.1385164768731,53.4845814983796
"9",K,"10",KJ,20.1428479203752,53.4877350932101
"14",K,"7",KJ,20.1181890885078,53.4719291239392
"15",K,"8",KJ,20.1238513743585,53.4742313748155
"16",K,"9",KJ,20.125028209827,53.4774384161129
"17",K,"7",KJ,20.1275738827624,53.4793001769165
"18",K,"8",KJ,20.1296826118359,53.4806869987395
"19",K,"9",KJ,20.1350969162135,53.4854173909853
"20",K,"4",KJ,20.1390864036497,53.4862152884725
"21",K,"2",KJ,20.1404922230319,53.4861392982356
"22",K,"10",KJ,20.1433038617965,53.4888749467632
"23",K,"10",KJ,20.1456215640213,53.4905467319746
"24",K,"10",KJ,20.1523466999851,53.4916865855278
"25",K,"10",KP,20.1216086491674,53.4735249189137
"26",K,"10",KP,20.1278398485915,53.4776283917051
"27",K,"10",KP,20.1311074287773,53.4810099572463
"28",K,"10",KP,20.1409861595716,53.4875831127363
"29",K,"10",KP,20.1545124217362,53.4929404244363
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1215326589305,53.4863292738278
"41",K,"10",KJ,20.11180590861,53.4844295179058
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
