id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1200457832955,53.4715747561342
"13",K,"10",KJ,20.1444599266001,53.4960375331904
"7",K,"10",KJ,20.1340523037571,53.4838790952897
"4",K,"10",KJ,20.1258331997363,53.4779944113458
"2",K,"10",KJ,20.1218452321048,53.474055077466
"3",K,"10",KJ,20.124276919685,53.4757572587721
"5",K,"10",KJ,20.12807035231,53.4803288314227
"6",K,"10",KJ,20.1307938423997,53.4824687164933
"10",K,"10",KJ,20.1393047489302,53.4909796230237
"11",K,"10",KJ,20.1416878027588,53.4923900018202
"12",K,"10",KJ,20.1430009140521,53.4950648581584
"8",K,"10",KJ,20.134927711286,53.4865539516279
"9",K,"10",KJ,20.1371648638597,53.4893260754693
"14",K,"10",KJ,20.1189758407603,53.47478458374
"15",K,"10",KJ,20.1210670920792,53.4771676375685
"16",K,"10",KJ,20.1234987796593,53.4793075226391
"17",K,"10",KJ,20.125492763475,53.4813501402064
"18",K,"10",KJ,20.1281189860616,53.4832954902705
"19",K,"10",KJ,20.1309883774062,53.4842195315509
"20",K,"10",KJ,20.1337118674959,53.4866512191311
"21",K,"10",KJ,20.1363867238341,53.4881102316792
"22",K,"10",KJ,20.1386238764078,53.4902501167497
"23",K,"10",KJ,20.1405692264719,53.4917577630494
"24",K,"10",KJ,20.1415905352556,53.4948216894004
"25",K,"10",KP,20.1218938658564,53.471720657389
"30",K,"1",KA,20.124033750927,53.4730337686823
"26",K,"10",KP,20.1268953849917,53.477116245037
"27",K,"10",KP,20.1310370111578,53.4804260989259
"31",K,"1",KA,20.1336145999927,53.4822741814868
"32",K,"1",KA,20.1352438306714,53.4847301859428
"28",K,"10",KP,20.135414048802,53.4876238941631
"33",K,"1",KA,20.1381375388918,53.4896178779789
"34",K,"1",KA,20.1410555639879,53.4921954668138
"29",K,"10",KP,20.14202823902,53.4937031131135
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1148177204605,53.4793345915835
"38",K,"10",KJ,20.1241019115627,53.4877150118705
"39",K,"10",KJ,20.1283742826894,53.4908371292324
"40",K,"1",KM,20.1283742826894,53.4880436558034
"41",K,"10",KJ,20.1103810273673,53.4851680213912
"42",K,"10",KJ,20.1089021296696,53.4832783187774
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
