id,unit,army,size,xcoord,ycoord
"60",POW,P,"10",20.1160360317963,53.4660905407391
"67",POW,P,"10",20.1187716803239,53.464266775054
"61",POW,P,"10",20.1196329030086,53.4706752850307
"68",POW,P,"10",20.1224192116941,53.4663945016866
"62",POW,P,"10",20.1222672312204,53.4724483905579
"63",POW,P,"10",20.1244582830503,53.4740568505717
"64",POW,P,"10",20.126927965749,53.4753866797172
"65",POW,P,"10",20.129460973645,53.4772611055603
"66",POW,P,"10",20.1315380401197,53.4780210079291
"69",POW,P,"10",20.1263707040119,53.4707259451887
"70",POW,P,"10",20.1275105575651,53.4732336230057
"71",POW,P,"10",20.1316140303566,53.4756653105859
"72",POW,P,"10",20.1339697276998,53.4774130860341
"73",POW,P,"10",20.1360214640956,53.4787809102979
"74",POW,P,"10",20.133501121239,53.4801170719628
"75",POW,P,"10",20.1264720243277,53.460391272973
"76",POW,P,"10",20.1303221963296,53.4625189996057
"77",POW,P,"10",20.1383265012809,53.4709285858203
"78",POW,P,"10",20.1455202437055,53.4778690274553
"79",POW,P,"10",20.1407075287031,53.4691554802931
"80",POW,P,"10",20.1495223961811,53.4766531836652
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"7",20.1432405365991,53.4833403245107
"91",POL,P,"7",20.1531192673934,53.4804526955093
"93",POL,P,"7",20.1718128656657,53.5007420887561
"95",POL,P,"7",20.1566908085267,53.501426000888
"88",POL,P,"7",20.1481039117594,53.4822764611944
"90",POL,P,"5",20.1506115895764,53.4828083928525
"92",POL,P,"8",20.1539551599991,53.4826564123788
"94",POL,P,"6",20.1705210316388,53.5024138739674
"96",POL,P,"6",20.1694571683225,53.5047695713107
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"6",20.1773601529579,53.5015779813617
"97",POL,P,"6",20.1737126215877,53.4999821863873
"102",PKP,P,"1",20.1636312501617,53.4815418889043
"103",PKW,P,"1",20.1569947694743,53.4810606174043
