id,unit,army,size,xcoord,ycoord
"60",POW,P,"10",20.1169352495993,53.4680726194174
"67",POW,P,"10",20.1183157389027,53.4655079489229
"61",POW,P,"10",20.1196329030086,53.4706752850307
"68",POW,P,"10",20.1216086491674,53.4679966291805
"62",POW,P,"10",20.1222672312204,53.4724483905579
"63",POW,P,"10",20.1244582830503,53.4740568505717
"64",POW,P,"10",20.126927965749,53.4753866797172
"65",POW,P,"10",20.129460973645,53.4772611055603
"66",POW,P,"10",20.1314367198038,53.4788822306137
"69",POW,P,"10",20.1251801903008,53.4709285858203
"70",POW,P,"10",20.125294175656,53.4730689774922
"71",POW,P,"10",20.1297142744346,53.4757919609806
"72",POW,P,"10",20.1325512432781,53.4778690274553
"73",POW,P,"10",20.1346283097528,53.4792875118771
"74",POW,P,"10",20.133501121239,53.4801170719628
"75",POW,P,"10",20.1264720243277,53.460391272973
"76",POW,P,"10",20.1303221963296,53.4625189996057
"77",POW,P,"10",20.1390104134128,53.4702383411685
"78",POW,P,"10",20.1452669429159,53.4767545039811
"79",POW,P,"10",20.1412901205191,53.4685285608387
"80",POW,P,"10",20.148965134444,53.4751840390855
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"7",20.1396943255447,53.4831630139579
"86",POL,P,"5",20.138516476873,53.4839545789252
"87",POL,P,"3",20.1410114896506,53.483087023721
"89",POL,P,"4",20.145824204653,53.4844041878269
"91",POL,P,"7",20.1485598531806,53.4861772933541
"93",POL,P,"9",20.1625927169244,53.4965372956487
"95",POL,P,"7",20.1563615175003,53.4985383718865
"88",POL,P,"7",20.1475466500223,53.4820738205626
"90",POL,P,"5",20.1470400484431,53.4855187113011
"92",POL,P,"8",20.1509915407608,53.4872918168283
"94",POL,P,"8",20.1623900762927,53.497601158965
"96",POL,P,"8",20.1625927169244,53.4990956336236
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1682159944534,53.4967146062014
"97",POL,P,"10",20.1642138419778,53.4958787135957
"102",PKP,P,"1",20.1636312501617,53.4815418889043
"103",PKW,P,"1",20.1530686072355,53.4841002268794
