id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1236446809142,53.467063975673
"51",PSP,P,"5",20.1197053470343,53.4655076956217
"59",PSP,P,"5",20.1478764476502,53.4923352888497
"58",PSP,P,"5",20.1449219472404,53.489113302806
"57",PSP,P,"5",20.1409704549227,53.4855751973769
"56",PSP,P,"5",20.1381496973297,53.4811799220758
"55",PSP,P,"5",20.1350371372271,53.4783105307312
"54",PSP,P,"5",20.1314503980464,53.4746022071715
"53",PSP,P,"5",20.1284107885712,53.4715139639447
"60",POW,P,"10",20.1194621782763,53.4634164443028
"67",POW,P,"10",20.1200944170471,53.4613738267355
"61",POW,P,"10",20.1224288371241,53.4651186256089
"68",POW,P,"10",20.1236933146658,53.46302737429
"62",POW,P,"10",20.1263681710039,53.4673557781827
"63",POW,P,"10",20.1292375623485,53.4697874657628
"64",POW,P,"10",20.1322771718237,53.4726811739832
"65",POW,P,"10",20.1346359087764,53.4750642278117
"66",POW,P,"10",20.136763635409,53.4773135388234
"69",POW,P,"10",20.1266113397619,53.4652158931121
"70",POW,P,"10",20.1296266323613,53.4676718975681
"71",POW,P,"10",20.1323744393269,53.4705412889127
"72",POW,P,"10",20.1350249787892,53.4727541246106
"73",POW,P,"10",20.1373472404283,53.4753438718834
"74",POW,P,"10",20.1397789280084,53.4779457775942
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1387819361005,53.4797209095277
"86",POL,P,"10",20.1403625330276,53.4819580621014
"87",POL,P,"10",20.1388548867279,53.4857758116023
"89",POL,P,"10",20.1410434055501,53.4872591410261
"91",POL,P,"10",20.1433291918754,53.4890099560838
"93",POL,P,"10",20.1452745419395,53.491441643664
"95",POL,P,"10",20.1471469413762,53.4937517468651
"88",POL,P,"10",20.1401193642696,53.4853563454947
"90",POL,P,"10",20.1431103399932,53.4870646060197
"92",POL,P,"10",20.1453961263185,53.4895631650083
"94",POL,P,"10",20.146441751978,53.4917516838304
"96",POL,P,"10",20.1501379170998,53.4932897262249
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1552079857044,53.4784442735481
"103",PKW,P,"1",20.1519859996607,53.4881102316792
