id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1170239048757,53.4730056522951
"13",K,"8",KJ,20.1553229842629,53.4929150943575
"7",K,"10",KJ,20.1351855714899,53.4820484904837
"2",K,"10",KJ,20.1158840513225,53.4750573886908
"3",K,"10",KJ,20.1236097254053,53.4757919609806
"6",K,"10",KJ,20.1323739327253,53.4812125978781
"11",K,"8",KJ,20.1499783376024,53.4924844830151
"12",K,"9",KJ,20.1531699275513,53.4939029674369
"8",K,"10",KJ,20.1386051321495,53.4826564123788
"9",K,"10",KJ,20.1421006830459,53.4880517191972
"14",K,"7",KJ,20.1135283539793,53.4733096132426
"15",K,"8",KJ,20.1189236607977,53.4755133301121
"16",K,"9",KJ,20.121887280036,53.4775144063499
"17",K,"7",KJ,20.1270546161438,53.4844801780639
"18",K,"8",KJ,20.1285744208814,53.4859999828015
"19",K,"9",KJ,20.1318420010672,53.4870638461178
"22",K,"10",KJ,20.1396689954658,53.4911673189093
"23",K,"10",KJ,20.1421006830459,53.4927631138837
"24",K,"10",KJ,20.1525113454984,53.4904580766983
"25",K,"10",KP,20.1204181354563,53.4739175351376
"26",K,"10",KP,20.1289543720658,53.4782489786397
"27",K,"10",KP,20.1309301182246,53.4847081487745
"28",K,"10",KP,20.1383011712019,53.4873678070653
"29",K,"10",KP,20.1591224961069,53.4930670748312
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1142882563481,53.485012109722
"41",K,"10",KJ,20.11180590861,53.4844295179058
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
