id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1223802033725,53.4689485335476
"51",PSP,P,"5",20.1198026145375,53.4678299572608
"59",PSP,P,"5",20.1446544616066,53.494627154394
"58",PSP,P,"5",20.1418337040136,53.4909309892721
"57",PSP,P,"5",20.1376025676242,53.4873807254051
"56",PSP,P,"5",20.1356085838084,53.4829064202577
"55",PSP,P,"5",20.1332741637315,53.4796479589003
"54",PSP,P,"5",20.1304047723869,53.4761949625365
"53",PSP,P,"5",20.1266599735135,53.4730824024339
"60",POW,P,"10",20.1188785732571,53.4661277759547
"67",POW,P,"10",20.1197539807859,53.4637933558777
"61",POW,P,"10",20.121456162092,53.4677326897576
"68",POW,P,"10",20.1225747383789,53.4647173971582
"62",POW,P,"10",20.1251523272138,53.4691917023057
"63",POW,P,"10",20.1272922122844,53.471234319873
"64",POW,P,"10",20.1295293648581,53.4745900487336
"65",POW,P,"10",20.1327391924639,53.4760976950333
"66",POW,P,"10",20.1352195137956,53.478334847607
"69",POW,P,"10",20.1255900309783,53.4668572822287
"70",POW,P,"10",20.1274867472908,53.4699212085797
"71",POW,P,"10",20.1304047723869,53.4721583611534
"72",POW,P,"10",20.1334200649863,53.4746386824852
"73",POW,P,"10",20.1351222462924,53.4765840325493
"74",POW,P,"10",20.1361921888277,53.4798424939067
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1359976538213,53.4808151689387
"86",POL,P,"10",20.1374566663693,53.4839763627929
"87",POL,P,"10",20.1358031188148,53.4861648816151
"89",POL,P,"10",20.1386725101594,53.4883047666856
"91",POL,P,"10",20.1408123952299,53.4903473842529
"93",POL,P,"10",20.142271407778,53.492779071833
"95",POL,P,"10",20.1427091115425,53.4940435493747
"88",POL,P,"10",20.1365812588405,53.4869430216407
"90",POL,P,"10",20.1398883539495,53.4895206104757
"92",POL,P,"10",20.1419796052684,53.4917091292978
"94",POL,P,"10",20.144727412234,53.4931438249701
"96",POL,P,"10",20.145335334129,53.4956484631776
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.158563714565,53.4793075226391
"103",PKW,P,"1",20.1475968035785,53.4884628263783
