id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1179357877183,53.4731576327688
"13",K,"8",KJ,20.1543351111835,53.4930417447522
"7",K,"10",KJ,20.1344509992,53.4824537717471
"2",K,"10",KJ,20.1188476705608,53.4746267773485
"3",K,"10",KJ,20.1236097254053,53.4757919609806
"5",K,"10",KJ,20.1304995068823,53.4794141622719
"6",K,"10",KJ,20.1323232725674,53.4814912287466
"11",K,"8",KJ,20.1499783376024,53.4924844830151
"12",K,"9",KJ,20.1531699275513,53.4939029674369
"8",K,"10",KJ,20.1385038118336,53.4839229163267
"9",K,"10",KJ,20.1426072846251,53.4876717680128
"14",K,"7",KJ,20.1153521196644,53.4732589530846
"15",K,"8",KJ,20.1216846394043,53.4751840390856
"16",K,"9",KJ,20.121887280036,53.4775144063499
"17",K,"7",KJ,20.1271052763017,53.4820484904837
"18",K,"8",KJ,20.1290303623026,53.4842775374322
"19",K,"9",KJ,20.1329818546204,53.485645361696
"22",K,"10",KJ,20.1409354994137,53.4899514751192
"23",K,"10",KJ,20.1431138862043,53.491927221278
"24",K,"10",KJ,20.1525113454984,53.4904580766983
"25",K,"10",KP,20.1204181354563,53.4739175351376
"26",K,"10",KP,20.1289543720658,53.4782489786397
"27",K,"10",KP,20.1306008271982,53.4833149944317
"28",K,"10",KP,20.1383011712019,53.4873678070653
"29",K,"10",KP,20.1577293417641,53.4929910845943
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.117479846297,53.4857973421697
"41",K,"10",KJ,20.11180590861,53.4844295179058
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
