id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1207418538653,53.4710458640855
"13",K,"8",KJ,20.1465906928422,53.4938490143683
"7",K,"10",KJ,20.1340279868813,53.4832103812052
"4",K,"10",KJ,20.1267481221883,53.476249675507
"2",K,"10",KJ,20.1235382945825,53.4722860247514
"3",K,"10",KJ,20.1257754471562,53.4753742679781
"5",K,"10",KJ,20.1288241754598,53.4794655823318
"6",K,"10",KJ,20.1318881018108,53.4818000024087
"10",K,"10",KJ,20.1410464451595,53.4896178779788
"11",K,"8",KJ,20.1422622889496,53.4912227917817
"12",K,"9",KJ,20.1459584540714,53.4924872693234
"8",K,"10",KJ,20.1362317037508,53.4858244453538
"9",K,"10",KJ,20.1402196713823,53.4880129641759
"14",K,"7",KJ,20.1200457832955,53.4711248939319
"15",K,"8",KJ,20.1243255534366,53.474042919028
"16",K,"9",KJ,20.1257845659847,53.4761828040986
"17",K,"7",KJ,20.1275353810424,53.4782254216659
"18",K,"8",KJ,20.1300643361257,53.4803653067364
"19",K,"9",KJ,20.1330796287251,53.4829428955714
"20",K,"10",KJ,20.1352590287188,53.4849004040734
"21",K,"6",KJ,20.1385174900762,53.4871861903987
"22",K,"10",KJ,20.139514481984,53.4891801742144
"23",K,"10",KJ,20.14197048644,53.4905419192593
"24",K,"10",KJ,20.1434294989881,53.4921468330622
"25",K,"10",KP,20.1231978583213,53.4718969547385
"26",K,"10",KP,20.1274137966634,53.4764016559808
"27",K,"10",KP,20.1315962993012,53.4806814261218
"28",K,"10",KP,20.1372530125345,53.4867484866343
"29",K,"10",KP,20.1446453427781,53.492535903075
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1233923933277,53.4865053178763
"41",K,"10",KJ,20.11092695487,53.4849125625113
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
