id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1233771952803,53.4679029078882
"51",PSP,P,"5",20.1197296639101,53.4665411628433
"59",PSP,P,"5",20.1458946222724,53.4941165000021
"58",PSP,P,"5",20.1436331528229,53.4899583142401
"57",PSP,P,"5",20.1394263333093,53.4872105072745
"56",PSP,P,"5",20.1372621313629,53.4826389346239
"55",PSP,P,"5",20.1340766206329,53.47918593826
"54",PSP,P,"5",20.1309397436546,53.4753195550076
"53",PSP,P,"5",20.1273651629118,53.4722313117808
"60",POW,P,"10",20.1195351289037,53.4644499115244
"67",POW,P,"10",20.1200701001713,53.4626504627151
"61",POW,P,"10",20.1220154502354,53.4667356978497
"68",POW,P,"10",20.1229881252675,53.4636717714987
"62",POW,P,"10",20.1259061503637,53.468291977901
"63",POW,P,"10",20.1286296404534,53.4702859617167
"64",POW,P,"10",20.131012694282,53.4735444230741
"65",POW,P,"10",20.1342225218878,53.4757329418962
"66",POW,P,"10",20.1361678719519,53.4777755594636
"69",POW,P,"10",20.1261493191217,53.4661520928305
"70",POW,P,"10",20.1285810067018,53.4686810479138
"71",POW,P,"10",20.1314503980464,53.4714045380036
"72",POW,P,"10",20.1342711556394,53.4738362255837
"73",POW,P,"10",20.1362651394551,53.4758788431511
"74",POW,P,"10",20.1377241520032,53.4793318395149
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1376268845,53.4804017820501
"86",POL,P,"10",20.1390129464206,53.4836602434075
"87",POL,P,"10",20.1371891807355,53.4863350997457
"89",POL,P,"10",20.1397667695705,53.488377717313
"91",POL,P,"10",20.1419552883926,53.4903230673771
"93",POL,P,"10",20.1438520047051,53.4925115861992
"95",POL,P,"10",20.1440465397115,53.4946514712697
"88",POL,P,"10",20.1385509257804,53.4866755360069
"90",POL,P,"10",20.1409826133605,53.4892044910902
"92",POL,P,"10",20.1429765971763,53.4913930099124
"94",POL,P,"10",20.144727412234,53.4931438249701
"96",POL,P,"10",20.1467700298013,53.495235076289
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1569344838863,53.4789914032536
"103",PKW,P,"1",20.148885597996,53.4881102316792
