id,unit,army,size,xcoord,ycoord
"60",POW,P,"10",20.1175046697743,53.4690336426129
"67",POW,P,"10",20.1198998820407,53.4655928046871
"61",POW,P,"10",20.1207144973801,53.4708574082981
"68",POW,P,"10",20.1216506970984,53.4662250434579
"62",POW,P,"10",20.1224653124378,53.4717328158269
"63",POW,P,"10",20.1247146234494,53.47379975027
"64",POW,P,"10",20.1270612019642,53.4767299338041
"65",POW,P,"10",20.1282284120027,53.4777877179015
"66",POW,P,"10",20.1311099617852,53.4794655823318
"69",POW,P,"10",20.1231005908181,53.4695868515374
"70",POW,P,"10",20.1235595718488,53.4732283036887
"71",POW,P,"10",20.1271341525916,53.4754168225108
"72",POW,P,"10",20.1292132454727,53.4780795204111
"73",POW,P,"10",20.1320947952551,53.4805233664291
"74",POW,P,"10",20.1327878262155,53.4809245948798
"75",POW,P,"10",20.1276083316698,53.4590029313448
"76",POW,P,"10",20.1333714312347,53.462285709578
"77",POW,P,"10",20.1397181358189,53.4697996242007
"78",POW,P,"10",20.1447517291098,53.4733742049435
"79",POW,P,"10",20.1421984571506,53.4678299572607
"80",POW,P,"10",20.1468672973045,53.4724258467872
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"7",20.1355234747431,53.482493033369
"86",POL,P,"8",20.1365721400121,53.4842316899888
"87",POL,P,"6",20.1402652655244,53.4835872927801
"89",POL,P,"4",20.1430373893658,53.4861040894255
"91",POL,P,"7",20.145335334129,53.4896969078251
"93",POL,P,"9",20.1548006780347,53.4944751739201
"95",POL,P,"7",20.1524662579578,53.4941833714105
"88",POL,P,"7",20.1410677224259,53.4844991756226
"90",POL,P,"5",20.1442228370611,53.4882378952771
"92",POL,P,"8",20.1474873776374,53.4907364542657
"94",POL,P,"8",20.1526486345263,53.4946210751749
"96",POL,P,"8",20.1524297826441,53.495350581449
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1625516821964,53.4805233664291
"103",PKW,P,"1",20.1463019299421,53.4900069479916
