id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1236446809142,53.467063975673
"51",PSP,P,"5",20.1197053470343,53.4655076956217
"59",PSP,P,"5",20.1471955751278,53.4926027744835
"58",PSP,P,"5",20.1445328772276,53.4892835209366
"57",PSP,P,"5",20.1406057017856,53.4858669998865
"56",PSP,P,"5",20.1378943701338,53.4815264375559
"55",PSP,P,"5",20.1346602256522,53.4787543137146
"54",PSP,P,"5",20.1314503980464,53.4746022071715
"53",PSP,P,"5",20.1284107885712,53.4715139639447
"60",POW,P,"10",20.1194621782763,53.4634164443028
"67",POW,P,"10",20.1200944170471,53.4613738267355
"61",POW,P,"10",20.1224288371241,53.4651186256089
"68",POW,P,"10",20.1236933146658,53.46302737429
"62",POW,P,"10",20.1263681710039,53.4673557781827
"63",POW,P,"10",20.1292375623485,53.4697874657628
"64",POW,P,"10",20.1322771718237,53.4726811739832
"65",POW,P,"10",20.1346359087764,53.4750642278117
"66",POW,P,"10",20.136763635409,53.4773135388234
"69",POW,P,"10",20.1266113397619,53.4652158931121
"70",POW,P,"10",20.1296266323613,53.4676718975681
"71",POW,P,"10",20.1323744393269,53.4705412889127
"72",POW,P,"10",20.1350249787892,53.4727541246106
"73",POW,P,"10",20.1373472404283,53.4753438718834
"74",POW,P,"10",20.1397789280084,53.4779457775942
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1387819361005,53.4797209095277
"86",POL,P,"10",20.1396451851915,53.482620696967
"87",POL,P,"10",20.1384050245256,53.4862195945856
"89",POL,P,"10",20.1404962758445,53.4876542902579
"91",POL,P,"10",20.1426847946666,53.489599640322
"93",POL,P,"10",20.1447760459856,53.4917881591441
"95",POL,P,"10",20.1458703053966,53.4936119248292
"88",POL,P,"10",20.1396816605052,53.4860129011413
"90",POL,P,"10",20.142392992157,53.4878488252643
"92",POL,P,"10",20.1446179862929,53.4902926712823
"94",POL,P,"10",20.1457365625797,53.4921893875949
"96",POL,P,"10",20.1488126473686,53.4937760637409
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1552079857044,53.4784442735481
"103",PKW,P,"1",20.1501743924135,53.4880190433949
