id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1186196998502,53.4726763612685
"13",K,"8",KJ,20.1543351111835,53.4930417447522
"7",K,"10",KJ,20.1342990187263,53.483061693642
"4",K,"10",KJ,20.125661461801,53.4770837950075
"2",K,"10",KJ,20.1213046882199,53.4748547480591
"3",K,"10",KJ,20.1226218523258,53.4763238926387
"5",K,"10",KJ,20.1289543720658,53.4792621817981
"6",K,"10",KJ,20.1318673311461,53.4824917668654
"11",K,"8",KJ,20.1499783376024,53.4924844830151
"12",K,"9",KJ,20.1531699275513,53.4939029674369
"8",K,"10",KJ,20.1385164768731,53.4845814983796
"9",K,"10",KJ,20.1428479203752,53.4877350932101
"14",K,"7",KJ,20.1171505552705,53.4738415449007
"15",K,"8",KJ,20.1226725124837,53.4751587090066
"16",K,"9",KJ,20.1230271335892,53.4773877559551
"17",K,"7",KJ,20.1276878681178,53.4809846271673
"18",K,"8",KJ,20.1285997509603,53.4828083928525
"19",K,"9",KJ,20.1350969162135,53.4854173909853
"22",K,"10",KJ,20.1424806342303,53.4892675629872
"23",K,"10",KJ,20.1442537397575,53.4911673189092
"24",K,"10",KJ,20.1525113454984,53.4904580766983
"25",K,"10",KP,20.1216086491674,53.4735249189137
"26",K,"10",KP,20.1289543720658,53.4782489786397
"27",K,"10",KP,20.1303221963296,53.4820991506416
"28",K,"10",KP,20.1393397044393,53.488153039513
"29",K,"10",KP,20.1577293417641,53.4929910845943
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1194302623769,53.4861013031172
"41",K,"10",KJ,20.11180590861,53.4844295179058
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
